X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,176,521
620,850,160,445
640,850,160,736
660,850,176,89
590,830,176,633
610,830,176,738
630,830,184,81
650,830,168,738
590,810,168,638
610,810,168,678
630,810,184,97
650,810,168,126
600,790,192,642
620,790,168,366
640,790,168,232
660,790,168,207
600,770,168,701
620,770,168,125
640,770,168,645
660,770,168,155
590,750,184,145
610,750,168,716
630,750,176,125
650,750,168,370
590,730,210,10
610,730,168,527
630,730,160,714
650,730,168,366
580,710,0,597
600,710,184,124
620,710,184,329
640,710,168,369
570,690,184,645
590,690,184,128
610,690,176,671
630,690,168,620
570,670,184,97
590,670,184,111
610,670,184,600
630,670,176,172
570,650,120,518
590,650,184,396
610,650,152,751
630,650,168,372
570,630,128,621
590,630,184,467
610,630,160,296
630,630,176,162
570,610,160,372
590,610,144,289
610,610,56,621
630,610,176,518
570,590,176,32
590,590,176,726
610,590,176,126
630,590,168,290
560,570,256,180
580,570,192,142
600,570,176,299
620,570,160,210
540,550,144,703
560,550,48,677
580,550,136,732
600,550,216,533
520,530,160,187
540,530,160,652
560,530,152,71
580,530,144,640
510,510,168,638
530,510,160,123
550,510,168,722
570,510,168,568
500,490,176,738
520,490,160,77
540,490,176,736
560,490,176,739
500,470,176,719
520,470,168,767
540,470,168,104
560,470,176,88
500,450,168,750
520,450,184,99
540,450,184,396
560,450,184,655
490,430,210,254
510,430,176,169
530,430,176,543
550,430,200,562
470,410,224,363
490,410,210,509
510,410,184,332
530,410,200,165
480,390,184,95
500,390,232,14
520,390,224,710
540,390,136,591
480,370,168,661
500,370,224,480
520,370,152,551
540,370,216,210
490,350,168,238
510,350,160,743
530,350,152,625
550,350,224,505
480,330,120,250
500,330,152,416
520,330,168,495
540,330,224,356
470,310,168,111
490,310,176,435
510,310,176,126
530,310,176,223
470,290,152,26
490,290,176,740
510,290,168,292
530,290,168,692
470,270,288,417
490,270,176,385
510,270,176,707
530,270,160,601
470,250,176,319
490,250,176,111
510,250,176,623
530,250,160,596
470,230,160,5
490,230,184,417
510,230,216,746
530,230,160,417
470,210,160,778
490,210,168,740
510,210,210,427
530,210,200,769
470,190,288,383
490,190,192,696
510,190,192,518
530,190,210,788
470,170,216,534
490,170,200,180
510,170,176,436
530,170,240,149
480,150,184,360
500,150,192,370
520,150,336,732
540,150,184,632
490,130,192,277
510,130,184,655
530,130,328,433
550,130,210,403
480,110,240,421
500,110,320,777
520,110,184,145
540,110,152,587
