X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,176,266
620,850,168,90
640,850,176,84
660,850,176,401
590,830,176,681
610,830,176,738
630,830,168,84
650,830,168,738
590,810,168,262
610,810,168,84
630,810,184,163
650,810,168,72
600,790,184,262
620,790,168,76
640,790,168,89
660,790,168,5
600,770,168,163
620,770,168,125
640,770,168,84
660,770,168,155
590,750,184,563
610,750,168,163
630,750,176,626
650,750,168,76
590,730,216,512
610,730,168,259
630,730,168,90
650,730,168,76
580,710,0,607
600,710,184,265
620,710,184,163
640,710,168,401
570,690,184,749
590,690,184,265
610,690,176,749
630,690,168,546
570,670,184,548
590,670,184,285
610,670,184,522
630,670,176,264
570,650,120,294
590,650,184,548
610,650,152,749
630,650,168,90
570,630,128,285
590,630,184,267
610,630,152,187
630,630,176,285
570,610,160,163
590,610,144,294
610,610,56,616
630,610,176,244
570,590,176,167
590,590,176,644
610,590,176,548
630,590,168,112
560,570,256,612
580,570,192,505
600,570,176,434
620,570,160,601
540,550,152,146
560,550,48,463
580,550,136,727
600,550,216,513
520,530,152,90
540,530,160,89
560,530,152,90
580,530,144,317
510,510,168,552
530,510,160,552
550,510,168,768
570,510,168,396
500,490,176,738
520,490,160,401
540,490,176,737
560,490,168,552
500,470,176,735
520,470,168,689
540,470,168,554
560,470,176,644
500,450,168,749
520,450,184,606
540,450,184,612
560,450,184,604
490,430,204,507
510,430,176,805
530,430,176,604
550,430,184,554
470,410,224,612
490,410,232,556
510,410,184,612
530,410,204,244
480,390,184,598
500,390,232,435
520,390,224,622
540,390,136,424
480,370,168,553
500,370,216,456
520,370,152,267
540,370,216,470
490,350,168,426
510,350,160,285
530,350,152,372
550,350,192,489
480,330,120,591
500,330,152,432
520,330,160,410
540,330,224,773
470,310,168,562
490,310,176,616
510,310,176,72
530,310,176,271
470,290,152,471
490,290,176,612
510,290,168,422
530,290,168,805
470,270,288,781
490,270,176,606
510,270,176,636
530,270,160,422
470,250,176,127
490,250,176,285
510,250,176,758
530,250,160,424
470,230,160,284
490,230,184,28
510,230,216,426
530,230,160,781
470,210,160,470
490,210,168,805
510,210,176,469
530,210,204,425
470,190,144,272
490,190,192,625
510,190,192,625
530,190,204,622
470,170,216,753
490,170,192,634
510,170,176,393
530,170,240,621
480,150,184,514
500,150,192,619
520,150,336,757
540,150,184,468
490,130,184,599
510,130,184,606
530,130,328,773
550,130,204,456
480,110,240,781
500,110,176,126
520,110,184,607
540,110,152,587
