X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,108,465
620,850,178,440
640,850,182,419
660,850,160,419
590,830,176,772
610,830,186,481
630,830,162,419
650,830,158,419
590,810,130,407
610,810,250,58
630,810,160,425
650,810,158,426
600,790,174,773
620,790,162,429
640,790,162,419
660,790,158,422
600,770,162,419
620,770,152,407
640,770,160,429
660,770,156,426
590,750,154,419
610,750,158,419
630,750,156,429
650,750,156,422
590,730,170,566
610,730,160,419
630,730,178,770
650,730,222,61
580,710,134,407
600,710,180,770
620,710,162,419
640,710,156,406
570,690,168,566
590,690,158,273
610,690,176,438
630,690,174,438
570,670,150,419
590,670,156,425
610,670,184,588
630,670,160,271
570,650,164,438
590,650,174,429
610,650,168,263
630,650,172,262
570,630,172,438
590,630,166,265
610,630,190,257
630,630,188,257
570,610,150,283
590,610,158,271
610,610,202,253
630,610,176,230
570,590,140,301
590,590,150,283
610,590,166,264
630,590,166,264
560,570,134,289
580,570,156,278
600,570,142,273
620,570,162,264
540,550,130,346
560,550,172,448
580,550,154,406
600,550,150,278
520,530,140,394
540,530,106,417
560,530,160,457
580,530,164,407
510,510,174,416
530,510,164,406
550,510,164,406
570,510,194,419
500,490,182,419
520,490,172,432
540,490,160,407
560,490,170,407
500,470,152,407
520,470,168,419
540,470,178,416
560,470,162,407
500,450,170,419
520,450,170,416
540,450,174,419
560,450,142,593
490,430,172,620
510,430,172,613
530,430,144,593
550,430,144,593
470,410,162,416
490,410,160,419
510,410,212,648
530,410,234,438
480,390,156,419
500,390,158,416
520,390,166,407
540,390,156,606
480,370,124,407
500,370,166,419
520,370,172,419
540,370,170,419
490,350,138,407
510,350,164,623
530,350,142,598
550,350,172,616
480,330,170,612
500,330,136,416
520,330,168,616
540,330,166,449
470,310,152,598
490,310,198,429
510,310,156,627
530,310,156,627
470,290,180,616
490,290,154,593
510,290,194,419
530,290,168,616
470,270,162,608
490,270,170,778
510,270,170,778
530,270,178,770
470,250,170,616
490,250,132,799
510,250,202,419
530,250,174,773
470,230,206,419
490,230,276,777
510,230,182,770
530,230,212,419
470,210,182,770
490,210,200,419
510,210,202,407
530,210,198,419
470,190,138,437
490,190,176,449
510,190,212,623
530,190,204,623
470,170,232,419
490,170,214,623
510,170,168,448
530,170,162,433
480,150,150,448
500,150,154,448
520,150,200,623
540,150,204,612
490,130,162,419
510,130,182,424
530,130,190,596
550,130,178,419
480,110,168,419
500,110,162,419
520,110,172,419
540,110,172,433
