X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,184,502
620,850,176,22
640,850,144,506
660,850,128,436
590,830,160,506
610,830,216,474
630,830,160,391
650,830,184,115
600,810,152,436
620,810,240,32
640,810,168,506
660,810,216,49
610,790,192,506
630,790,184,532
650,790,160,142
670,790,168,506
600,770,200,506
620,770,184,532
640,770,168,393
660,770,184,115
600,750,216,41
620,750,176,497
640,750,192,523
660,750,216,24
600,730,176,59
620,730,184,59
640,730,168,393
660,730,184,497
580,710,168,497
600,710,160,506
620,710,160,506
640,710,176,65
580,690,160,497
600,690,160,393
620,690,160,506
640,690,176,93
550,670,176,255
570,670,184,264
590,670,176,533
610,670,144,141
540,650,120,436
560,650,216,751
580,650,160,396
600,650,144,434
530,630,144,421
550,630,128,437
570,630,168,255
590,630,176,264
520,610,184,271
540,610,152,475
560,610,232,536
580,610,168,287
520,590,176,501
540,590,160,247
560,590,248,502
580,590,176,260
520,570,160,541
540,570,160,474
560,570,168,288
580,570,168,273
520,550,168,359
540,550,168,341
560,550,160,279
580,550,216,298
510,530,152,410
530,530,160,433
550,530,176,393
570,530,168,279
510,510,184,585
530,510,168,421
550,510,176,421
570,510,168,279
510,490,152,427
530,490,160,375
550,490,160,427
570,490,160,427
510,470,144,427
530,470,160,427
550,470,168,410
570,470,160,427
500,450,176,585
520,450,168,393
540,450,168,393
560,450,168,393
490,430,168,393
510,430,160,376
530,430,168,583
550,430,168,393
480,410,192,748
500,410,128,433
520,410,232,395
540,410,240,293
470,390,128,433
490,390,168,256
510,390,160,279
530,390,168,591
480,370,160,255
500,370,160,279
520,370,176,506
540,370,144,427
470,350,120,436
490,350,192,393
510,350,192,458
530,350,144,429
470,330,152,506
490,330,176,532
510,330,216,393
530,330,152,394
480,310,280,623
500,310,152,436
520,310,176,532
540,310,160,393
480,290,168,458
500,290,224,775
520,290,184,393
540,290,192,532
470,270,272,775
490,270,176,778
510,270,224,775
530,270,216,778
470,250,184,752
490,250,248,584
510,250,216,772
530,250,224,775
470,230,176,778
490,230,240,753
510,230,248,584
530,230,88,753
470,210,184,753
490,210,264,765
510,210,216,585
530,210,160,778
480,190,256,765
500,190,224,585
520,190,200,582
540,190,200,585
480,170,200,614
500,170,344,751
520,170,176,778
540,170,216,394
480,150,224,564
500,150,176,778
520,150,176,778
540,150,176,778
480,130,112,458
500,130,120,627
520,130,168,778
540,130,184,394
480,110,184,778
500,110,232,748
520,110,168,393
540,110,216,421
