X_COOR,Y_COOR,HEADING
490,850,200
490,820,200
490,790,184
490,760,184
490,730,160
490,700,184
490,670,184
490,640,112
490,610,192
490,580,184
490,550,128
490,520,160
490,490,168
490,460,168
490,430,152
490,400,144
490,370,320
490,340,152
490,310,144
490,280,152
490,250,232
490,220,216
490,190,216
490,160,192
490,130,88
490,100,192
520,850,176
520,820,192
520,790,160
520,760,136
520,730,136
520,700,144
520,670,184
520,640,216
520,610,96
520,580,184
520,550,176
520,520,160
520,490,160
520,460,152
520,430,152
520,400,152
520,370,176
520,340,176
520,310,176
520,280,152
520,250,128
520,220,152
520,190,200
520,160,200
520,130,192
520,100,200
550,850,176
550,820,176
550,790,136
550,760,176
550,730,192
550,700,168
550,670,210
550,640,120
550,610,152
550,580,192
550,550,232
550,520,160
550,490,168
550,460,160
550,430,144
550,400,144
550,370,152
550,340,152
550,310,184
550,280,136
550,250,144
550,220,168
550,190,176
550,160,232
550,130,210
550,100,176
580,850,192
580,820,192
580,790,216
580,760,192
580,730,184
580,700,184
580,670,184
580,640,168
580,610,152
580,580,160
580,550,160
580,520,136
580,490,176
580,460,168
580,430,144
580,400,144
580,370,152
580,340,160
580,310,168
580,280,160
580,250,256
580,220,168
580,190,224
580,160,210
580,130,176
580,100,160
610,850,152
610,820,168
610,790,216
610,760,216
610,730,176
610,700,184
610,670,200
610,640,160
610,610,192
610,580,128
610,550,152
610,520,152
610,490,168
610,460,168
610,430,136
610,400,144
610,370,160
610,340,168
610,310,152
610,280,160
610,250,176
610,220,232
610,190,176
610,160,216
610,130,136
610,100,176
640,850,224
640,820,216
640,790,216
640,760,200
640,730,210
640,700,200
640,670,184
640,640,160
640,610,192
640,580,200
640,550,144
640,520,184
640,490,168
640,460,176
640,430,168
640,400,160
640,370,176
640,340,210
640,310,168
640,280,152
640,250,176
640,220,144
640,190,224
640,160,192
640,130,184
640,100,176
