X [mm], Y [mm], Z [mm], Heading [degrees], Filename
6300, 8450, 1800, 242.729, image_00000.png
6291.11, 8445.42, 1800, 242.729, image_00001.png
6282.28, 8440.73, 1800, 242.035, image_00002.png
6273.51, 8435.93, 1800, 241.315, image_00003.png
6264.8, 8431.01, 1800, 240.561, image_00004.png
6256.16, 8425.98, 1800, 239.769, image_00005.png
6247.59, 8420.82, 1800, 238.94, image_00006.png
6239.1, 8415.53, 1800, 238.065, image_00007.png
6230.7, 8410.11, 1800, 237.145, image_00008.png
6222.4, 8404.54, 1800, 236.175, image_00009.png
6214.19, 8398.83, 1800, 235.149, image_00010.png
6206.09, 8392.96, 1800, 234.064, image_00011.png
6198.12, 8386.93, 1800, 232.909, image_00012.png
6190.27, 8380.73, 1800, 231.692, image_00013.png
6182.56, 8374.35, 1800, 230.381, image_00014.png
6175.02, 8367.79, 1800, 228.99, image_00015.png
6167.65, 8361.03, 1800, 227.499, image_00016.png
6160.46, 8354.08, 1800, 225.902, image_00017.png
6153.49, 8346.91, 1800, 224.183, image_00018.png
6146.76, 8339.51, 1800, 222.328, image_00019.png
6140.29, 8331.89, 1800, 220.328, image_00020.png
6134.11, 8324.03, 1800, 218.162, image_00021.png
6128.25, 8315.92, 1800, 215.814, image_00022.png
6122.77, 8307.56, 1800, 213.256, image_00023.png
6117.69, 8298.94, 1800, 210.483, image_00024.png
6113.08, 8290.07, 1800, 207.459, image_00025.png
6108.99, 8280.95, 1800, 204.172, image_00026.png
6105.46, 8271.59, 1800, 200.606, image_00027.png
6102.58, 8262.01, 1800, 196.752, image_00028.png
6100.4, 8252.25, 1800, 192.602, image_00029.png
6098.97, 8242.36, 1800, 188.181, image_00030.png
6098.36, 8232.38, 1800, 183.505, image_00031.png
6098.59, 8222.38, 1800, 178.636, image_00032.png
6099.7, 8212.44, 1800, 173.63, image_00033.png
6101.68, 8202.64, 1800, 168.569, image_00034.png
6104.51, 8193.05, 1800, 163.533, image_00035.png
6108.16, 8183.74, 1800, 158.599, image_00036.png
6112.57, 8174.76, 1800, 153.836, image_00037.png
6117.67, 8166.16, 1800, 149.294, image_00038.png
6123.41, 8157.97, 1800, 144.992, image_00039.png
6129.71, 8150.2, 1800, 140.96, image_00040.png
6136.5, 8142.87, 1800, 137.193, image_00041.png
6143.73, 8135.96, 1800, 133.686, image_00042.png
6151.35, 8129.48, 1800, 130.413, image_00043.png
6159.3, 8123.41, 1800, 127.374, image_00044.png
6167.53, 8117.74, 1800, 124.533, image_00045.png
6176.02, 8112.45, 1800, 121.882, image_00046.png
6184.74, 8107.54, 1800, 119.407, image_00047.png
6193.64, 8102.99, 1800, 117.075, image_00048.png
6202.71, 8098.78, 1800, 114.885, image_00049.png
6211.92, 8094.89, 1800, 112.913, image_00050.png
6221.24, 8091.26, 1800, 111.309, image_00051.png
6230.63, 8087.83, 1800, 110.025, image_00052.png
6240.09, 8084.57, 1800, 109.026, image_00053.png
6249.58, 8081.44, 1800, 108.28, image_00054.png
6259.1, 8078.38, 1800, 107.778, image_00055.png
