X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,192,83
620,850,176,655
640,850,176,123
660,850,176,155
590,830,176,350
610,830,176,137
630,830,176,142
650,830,184,136
590,810,168,123
610,810,184,259
630,810,176,132
650,810,168,373
600,790,184,641
620,790,168,81
640,790,168,265
660,790,168,357
600,770,168,26
620,770,168,128
640,770,168,164
660,770,168,69
590,750,168,373
610,750,168,373
630,750,168,23
650,750,168,738
590,730,184,83
610,730,184,415
630,730,168,153
650,730,168,25
580,710,152,96
600,710,184,83
620,710,184,276
640,710,160,216
570,690,192,34
590,690,192,193
610,690,176,143
630,690,184,227
570,670,176,604
590,670,176,478
610,670,176,84
630,670,168,118
570,650,176,612
590,650,184,121
610,650,152,71
630,650,168,738
570,630,160,152
590,630,184,18
610,630,168,483
630,630,176,20
570,610,168,84
590,610,184,410
610,610,184,363
630,610,160,222
570,590,176,130
590,590,184,195
610,590,168,7
630,590,176,546
560,570,176,713
580,570,176,552
600,570,176,72
620,570,176,23
540,550,152,273
560,550,200,670
580,550,168,463
600,550,168,190
520,530,152,413
540,530,160,23
560,530,144,154
580,530,160,18
510,510,160,738
530,510,168,155
550,510,160,132
570,510,168,182
500,490,160,138
520,490,160,141
540,490,184,681
560,490,176,105
500,470,176,78
520,470,176,25
540,470,176,374
560,470,184,273
500,450,176,124
520,450,184,146
540,450,176,374
560,450,184,751
490,430,200,270
510,430,184,241
530,430,176,109
550,430,184,6
470,410,160,712
490,410,200,66
510,410,184,371
530,410,184,375
480,390,176,135
500,390,184,757
520,390,184,682
540,390,160,385
480,370,184,34
500,370,176,345
520,370,152,227
540,370,168,385
490,350,152,635
510,350,160,180
530,350,160,34
550,350,160,349
480,330,136,24
500,330,168,753
520,330,168,260
540,330,184,408
470,310,168,243
490,310,168,565
510,310,176,77
530,310,184,720
470,290,176,537
490,290,176,206
510,290,192,557
530,290,168,708
470,270,168,446
490,270,176,35
510,270,176,431
530,270,168,260
470,250,176,92
490,250,192,713
510,250,168,660
530,250,200,721
470,230,184,397
490,230,200,500
510,230,216,31
530,230,160,608
470,210,168,559
490,210,200,672
510,210,160,92
530,210,216,273
470,190,192,309
490,190,176,438
510,190,200,656
530,190,210,698
470,170,210,203
490,170,192,44
510,170,184,328
530,170,216,751
480,150,200,659
500,150,192,132
520,150,200,612
540,150,200,132
490,130,192,751
510,130,184,83
530,130,184,696
550,130,200,68
480,110,192,620
500,110,176,655
520,110,184,82
540,110,184,257
