X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,128,332
620,850,40,344
640,850,24,727
660,850,16,344
590,830,40,502
610,830,40,342
630,830,32,344
650,830,48,622
590,810,106,655
610,810,128,611
630,810,72,766
650,810,40,769
600,790,32,342
620,790,32,664
640,790,72,769
660,790,8,343
600,770,56,727
620,770,96,612
640,770,32,727
660,770,8,619
590,750,16,769
610,750,48,621
630,750,16,727
650,750,40,619
590,730,8,617
610,730,16,621
630,730,48,769
650,730,40,625
580,710,8,727
600,710,8,611
620,710,24,616
640,710,40,621
570,690,16,342
590,690,48,622
610,690,48,622
630,690,24,625
570,670,64,769
590,670,16,769
610,670,40,769
630,670,40,613
570,650,120,612
590,650,96,625
610,650,24,618
630,650,8,343
570,630,40,618
590,630,56,611
610,630,112,618
630,630,32,624
570,610,48,769
590,610,40,611
610,610,80,613
630,610,16,625
570,590,56,342
590,590,64,342
610,590,80,611
630,590,32,613
560,570,24,672
580,570,56,611
600,570,106,503
620,570,88,321
540,550,16,664
560,550,80,769
580,550,80,621
600,550,56,769
520,530,16,672
540,530,24,462
560,530,16,769
580,530,88,462
510,510,16,624
530,510,16,624
550,510,16,625
570,510,0,621
500,490,16,611
520,490,72,462
540,490,8,611
560,490,16,332
500,470,72,625
520,470,352,357
540,470,80,343
560,470,0,462
500,450,32,462
520,450,8,624
540,450,80,625
560,450,64,769
490,430,56,613
510,430,48,502
530,430,48,625
550,430,72,624
470,410,352,625
490,410,352,625
510,410,56,618
530,410,56,769
480,390,112,462
500,390,106,504
520,390,88,613
540,390,72,462
480,370,80,502
500,370,64,343
520,370,80,625
540,370,64,727
490,350,80,504
510,350,152,727
530,350,80,502
550,350,0,619
480,330,344,613
500,330,80,625
520,330,120,504
540,330,88,480
470,310,96,768
490,310,56,462
510,310,80,727
530,310,88,769
470,290,48,613
490,290,112,614
510,290,96,727
530,290,96,619
470,270,56,624
490,270,112,613
510,270,96,502
530,270,72,619
470,250,48,619
490,250,64,769
510,250,72,617
530,250,72,613
470,230,88,625
490,230,24,769
510,230,96,624
530,230,48,769
470,210,88,725
490,210,72,613
510,210,80,768
530,210,88,621
470,190,72,624
490,190,136,480
510,190,80,624
530,190,80,769
470,170,80,471
490,170,40,727
510,170,88,616
530,170,120,768
480,150,112,769
500,150,120,612
520,150,32,727
540,150,80,613
490,130,112,624
510,130,48,727
530,130,32,727
550,130,32,622
480,110,112,611
500,110,88,614
520,110,72,619
540,110,112,462
