X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,128,83
620,850,8,695
640,850,16,662
660,850,8,320
590,830,200,583
610,830,176,83
630,830,168,422
650,830,184,548
590,810,144,361
610,810,120,695
630,810,352,729
650,810,32,696
600,790,144,720
620,790,120,140
640,790,128,617
660,790,0,695
600,770,168,379
620,770,80,647
640,770,168,446
660,770,136,531
590,750,120,343
610,750,8,317
630,750,352,317
650,750,168,369
590,730,0,662
610,730,120,708
630,730,272,401
650,730,136,468
580,710,120,83
600,710,184,83
620,710,184,762
640,710,24,624
570,690,120,381
590,690,136,319
610,690,136,83
630,690,184,335
570,670,96,624
590,670,112,723
610,670,120,805
630,670,176,752
570,650,120,639
590,650,48,505
610,650,152,656
630,650,168,114
570,630,128,523
590,630,88,372
610,630,88,723
630,630,112,100
570,610,72,723
590,610,200,773
610,610,88,140
630,610,144,83
570,590,112,695
590,590,48,634
610,590,176,83
630,590,328,188
560,570,192,618
580,570,88,552
600,570,128,643
620,570,176,83
540,550,88,567
560,550,72,731
580,550,152,228
600,550,64,328
520,530,56,662
540,530,80,78
560,530,88,317
580,530,240,320
510,510,0,370
530,510,112,83
550,510,120,805
570,510,88,731
500,490,176,315
520,490,176,138
540,490,8,317
560,490,280,289
500,470,80,717
520,470,192,430
540,470,168,710
560,470,8,381
500,450,168,83
520,450,168,734
540,450,168,420
560,450,56,669
490,430,40,633
510,430,168,613
530,430,80,711
550,430,168,553
470,410,80,689
490,410,352,618
510,410,296,497
530,410,224,103
480,390,176,656
500,390,352,662
520,390,312,696
540,390,352,696
480,370,88,576
500,370,328,188
520,370,344,706
540,370,120,751
490,350,152,524
510,350,288,329
530,350,152,710
550,350,128,719
480,330,296,344
500,330,88,229
520,330,120,531
540,330,88,624
470,310,168,188
490,310,344,763
510,310,176,431
530,310,128,709
470,290,288,188
490,290,304,123
510,290,88,661
530,290,112,173
470,270,96,710
490,270,176,719
510,270,296,767
530,270,160,293
470,250,176,331
490,250,160,83
510,250,160,83
530,250,136,83
470,230,160,805
490,230,152,401
510,230,320,727
530,230,240,431
470,210,160,552
490,210,72,319
510,210,176,379
530,210,160,710
470,190,336,637
490,190,128,569
510,190,112,6
530,190,328,664
470,170,344,83
490,170,256,123
510,170,336,634
530,170,48,696
480,150,280,83
500,150,192,329
520,150,144,709
540,150,200,524
490,130,184,302
510,130,184,576
530,130,24,317
550,130,184,135
480,110,312,523
500,110,176,617
520,110,184,229
540,110,40,497
