X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,184,176
620,850,176,81
640,850,168,141
660,850,176,177
590,830,176,19
610,830,176,124
630,830,184,124
650,830,168,141
590,810,192,177
610,810,176,66
630,810,176,106
650,810,168,124
600,790,184,84
620,790,176,176
640,790,168,127
660,790,192,272
600,770,184,372
620,770,176,106
640,770,184,126
660,770,168,14
590,750,184,69
610,750,192,262
630,750,176,106
650,750,168,106
590,730,200,273
610,730,184,604
630,730,168,91
650,730,168,78
580,710,168,14
600,710,176,69
620,710,184,91
640,710,168,495
570,690,176,413
590,690,184,445
610,690,168,106
630,690,176,257
570,670,176,163
590,670,176,399
610,670,176,265
630,670,168,96
570,650,176,259
590,650,192,266
610,650,136,265
630,650,144,272
570,630,200,14
590,630,168,270
610,630,168,552
630,630,168,257
570,610,160,274
590,610,176,552
610,610,160,550
630,610,144,658
570,590,176,164
590,590,184,228
610,590,176,271
630,590,160,354
560,570,192,520
580,570,192,738
600,570,176,266
620,570,160,72
540,550,160,295
560,550,200,228
580,550,152,182
600,550,144,641
520,530,144,640
540,530,160,176
560,530,168,176
580,530,160,66
510,510,168,14
530,510,176,69
550,510,160,106
570,510,168,487
500,490,176,142
520,490,176,20
540,490,176,738
560,490,176,296
500,470,176,28
520,470,176,14
540,470,184,19
560,470,184,89
500,450,176,68
520,450,184,126
540,450,184,274
560,450,184,274
490,430,184,276
510,430,176,604
530,430,168,274
550,430,176,276
470,410,152,436
490,410,200,522
510,410,184,401
530,410,192,171
480,390,184,130
500,390,184,402
520,390,152,435
540,390,160,69
480,370,160,30
500,370,160,402
520,370,152,91
540,370,160,552
490,350,168,443
510,350,160,604
530,350,160,410
550,350,192,173
480,330,128,431
500,330,168,402
520,330,160,452
540,330,160,559
470,310,168,603
490,310,176,456
510,310,176,28
530,310,176,449
470,290,184,452
490,290,176,726
510,290,192,603
530,290,176,402
470,270,192,456
490,270,184,452
510,270,192,452
530,270,192,452
470,250,184,316
490,250,176,626
510,250,184,653
530,250,192,409
470,230,160,445
490,230,192,625
510,230,176,449
530,230,160,603
470,210,224,781
490,210,200,452
510,210,176,599
530,210,200,410
470,190,184,780
490,190,200,643
510,190,200,274
530,190,216,402
470,170,200,443
490,170,192,612
510,170,192,443
530,170,200,28
480,150,192,62
500,150,184,20
520,150,192,271
540,150,192,274
490,130,192,552
510,130,184,130
530,130,184,656
550,130,216,20
480,110,192,402
500,110,184,21
520,110,184,274
540,110,216,402
