X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,184,489
620,850,144,294
640,850,210,255
660,850,192,64
590,830,160,272
610,830,144,795
630,830,168,272
650,830,210,64
590,810,200,781
610,810,216,64
630,810,210,64
650,810,224,34
600,790,192,548
620,790,192,547
640,790,216,34
660,790,224,62
600,770,210,523
620,770,184,548
640,770,210,34
660,770,210,64
590,750,184,548
610,750,184,548
630,750,224,34
650,750,210,64
590,730,210,60
610,730,168,402
630,730,200,255
650,730,224,34
580,710,168,548
600,710,160,271
620,710,200,255
640,710,200,255
570,690,176,547
590,690,184,548
610,690,200,255
630,690,160,272
570,670,210,255
590,670,160,272
610,670,192,257
630,670,200,64
570,650,160,272
590,650,168,272
610,650,128,294
630,650,168,266
570,630,160,294
590,630,144,294
610,630,200,255
630,630,184,255
570,610,152,294
590,610,160,268
610,610,192,256
630,610,176,232
570,590,144,297
590,590,144,294
610,590,210,247
630,590,210,247
560,570,184,413
580,570,136,392
600,570,152,272
620,570,160,402
540,550,136,350
560,550,168,402
580,550,160,434
600,550,144,287
520,530,136,392
540,530,144,392
560,530,168,402
580,530,128,393
510,510,160,401
530,510,160,402
550,510,160,402
570,510,152,549
500,490,152,593
520,490,160,402
540,490,168,417
560,490,168,402
500,470,136,386
520,470,160,612
540,470,160,606
560,470,168,402
500,450,144,604
520,450,152,402
540,450,184,781
560,450,168,402
490,430,152,402
510,430,152,593
530,430,144,599
550,430,160,606
470,410,184,549
490,410,224,550
510,410,152,402
530,410,144,592
480,390,160,432
500,390,168,452
520,390,176,593
540,390,176,548
480,370,136,402
500,370,168,554
520,370,176,548
540,370,184,549
490,350,152,548
510,350,200,402
530,350,176,548
550,350,144,593
480,330,152,548
500,330,136,402
520,330,136,593
540,330,176,554
470,310,144,593
490,310,144,592
510,310,160,402
530,310,184,555
470,290,152,592
490,290,248,799
510,290,152,592
530,290,192,549
470,270,152,593
490,270,232,806
510,270,152,781
530,270,128,795
470,250,216,793
490,250,224,402
510,250,216,415
530,250,224,788
470,230,168,781
490,230,176,781
510,230,224,415
530,230,240,609
470,210,168,795
490,210,232,550
510,210,160,805
530,210,200,630
470,190,144,739
490,190,272,627
510,190,192,626
530,190,192,626
470,170,168,795
490,170,192,636
510,170,248,550
530,170,210,554
480,150,216,788
500,150,192,781
520,150,210,548
540,150,210,548
490,130,184,582
510,130,160,592
530,130,210,788
550,130,200,554
480,110,192,781
500,110,200,788
520,110,152,402
540,110,168,793
