X_COOR,Y_COOR,HEADING
600,850,192
620,850,210
640,850,224
660,850,224
590,830,160
610,830,168
630,830,168
650,830,210
590,810,200
610,810,184
630,810,216
650,810,192
600,790,192
620,790,210
640,790,216
660,790,224
600,770,184
620,770,216
640,770,210
660,770,210
590,750,184
610,750,216
630,750,224
650,750,210
590,730,210
610,730,176
630,730,192
650,730,216
580,710,184
600,710,168
620,710,200
640,710,216
570,690,176
590,690,184
610,690,184
630,690,160
570,670,168
590,670,160
610,670,200
630,670,200
570,650,184
590,650,168
610,650,168
630,650,128
570,630,152
590,630,144
610,630,144
630,630,192
570,610,160
590,610,160
610,610,192
630,610,176
570,590,144
590,590,160
610,590,210
630,590,210
560,570,184
580,570,136
600,570,144
620,570,144
540,550,136
560,550,64
580,550,160
600,550,144
520,530,136
540,530,168
560,530,168
580,530,168
510,510,160
530,510,160
550,510,160
570,510,152
500,490,168
520,490,160
540,490,176
560,490,152
500,470,136
520,470,184
540,470,106
560,470,152
500,450,136
520,450,152
540,450,184
560,450,152
490,430,152
510,430,200
530,430,152
550,430,144
470,410,184
490,410,224
510,410,152
530,410,176
480,390,184
500,390,168
520,390,168
540,390,152
480,370,136
500,370,168
520,370,176
540,370,168
490,350,168
510,350,192
530,350,168
550,350,144
480,330,152
500,330,136
520,330,176
540,330,184
470,310,144
490,310,144
510,310,160
530,310,192
470,290,152
490,290,160
510,290,152
530,290,192
470,270,152
490,270,232
510,270,152
530,270,304
470,250,216
490,250,232
510,250,72
530,250,224
470,230,176
490,230,200
510,230,216
530,230,240
470,210,168
490,210,192
510,210,160
530,210,200
470,190,144
490,190,216
510,190,192
530,190,192
470,170,184
490,170,176
510,170,248
530,170,210
480,150,224
500,150,192
520,150,200
540,150,210
490,130,88
510,130,176
530,130,210
550,130,210
480,110,192
500,110,200
520,110,152
540,110,176
