X [mm], Y [mm], Z [mm], Heading [degrees], Filename
6300, 8450, 1800, 229.842, image_00000.png
6292.36, 8443.55, 1800, 229.842, image_00001.png
6284.84, 8436.96, 1800, 228.781, image_00002.png
6277.45, 8430.22, 1800, 227.643, image_00003.png
6270.2, 8423.33, 1800, 226.414, image_00004.png
6263.12, 8416.27, 1800, 225.083, image_00005.png
6256.22, 8409.03, 1800, 223.648, image_00006.png
6249.52, 8401.61, 1800, 222.077, image_00007.png
6243.04, 8393.99, 1800, 220.374, image_00008.png
6236.81, 8386.17, 1800, 218.515, image_00009.png
6230.87, 8378.13, 1800, 216.48, image_00010.png
6225.24, 8369.86, 1800, 214.258, image_00011.png
6219.96, 8361.37, 1800, 211.823, image_00012.png
6215.09, 8352.64, 1800, 209.163, image_00013.png
6210.66, 8343.67, 1800, 206.262, image_00014.png
6206.74, 8334.47, 1800, 203.103, image_00015.png
6203.37, 8325.06, 1800, 199.691, image_00016.png
6200.61, 8315.44, 1800, 196.031, image_00017.png
6198.5, 8305.67, 1800, 192.15, image_00018.png
6197.09, 8295.77, 1800, 188.088, image_00019.png
6196.41, 8285.79, 1800, 183.902, image_00020.png
6196.47, 8275.79, 1800, 179.669, image_00021.png
6197.26, 8265.82, 1800, 175.46, image_00022.png
6198.76, 8255.94, 1800, 171.356, image_00023.png
6200.93, 8246.18, 1800, 167.431, image_00024.png
6203.74, 8236.58, 1800, 163.726, image_00025.png
6207.11, 8227.16, 1800, 160.286, image_00026.png
6211, 8217.95, 1800, 157.125, image_00027.png
6215.34, 8208.94, 1800, 154.244, image_00028.png
6220.09, 8200.14, 1800, 151.656, image_00029.png
6225.19, 8191.54, 1800, 149.324, image_00030.png
6230.6, 8183.13, 1800, 147.251, image_00031.png
6236.27, 8174.9, 1800, 145.414, image_00032.png
6242.18, 8166.83, 1800, 143.797, image_00033.png
6248.29, 8158.91, 1800, 142.379, image_00034.png
6254.56, 8151.12, 1800, 141.161, image_00035.png
6260.97, 8143.44, 1800, 140.122, image_00036.png
6267.49, 8135.87, 1800, 139.254, image_00037.png
6274.11, 8128.37, 1800, 138.547, image_00038.png
6280.8, 8120.94, 1800, 138.009, image_00039.png
6287.54, 8113.55, 1800, 137.636, image_00040.png
6294.31, 8106.19, 1800, 137.425, image_00041.png
6301.08, 8098.83, 1800, 137.394, image_00042.png
6307.83, 8091.45, 1800, 137.539, image_00043.png
6314.54, 8084.04, 1800, 137.851, image_00044.png
6321.19, 8076.56, 1800, 138.334, image_00045.png
6327.75, 8069.02, 1800, 138.984, image_00046.png
6334.2, 8061.38, 1800, 139.814, image_00047.png
6340.52, 8053.63, 1800, 140.812, image_00048.png
6346.68, 8045.75, 1800, 141.963, image_00049.png
6352.67, 8037.74, 1800, 143.255, image_00050.png
6358.45, 8029.58, 1800, 144.662, image_00051.png
6364.02, 8021.28, 1800, 146.166, image_00052.png
6369.36, 8012.82, 1800, 147.727, image_00053.png
6374.46, 8004.22, 1800, 149.326, image_00054.png
6379.32, 7995.48, 1800, 150.941, image_00055.png
6383.93, 7986.61, 1800, 152.533, image_00056.png
6388.3, 7977.61, 1800, 154.098, image_00057.png
6392.43, 7968.51, 1800, 155.613, image_00058.png
6396.33, 7959.3, 1800, 157.07, image_00059.png
6400, 7950, 1800, 158.455, image_00060.png
6403.46, 7940.61, 1800, 159.76, image_00061.png
6406.73, 7931.16, 1800, 160.933, image_00062.png
6409.82, 7921.65, 1800, 161.99, image_00063.png
6412.75, 7912.09, 1800, 162.948, image_00064.png
6415.54, 7902.49, 1800, 163.829, image_00065.png
6418.19, 7892.85, 1800, 164.639, image_00066.png
6420.71, 7883.17, 1800, 165.397, image_00067.png
6423.11, 7873.46, 1800, 166.098, image_00068.png
