X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,108,465
620,850,164,424
640,850,112,464
660,850,92,464
590,830,176,772
610,830,168,464
630,830,176,599
650,830,100,464
590,810,198,620
610,810,248,59
630,810,156,429
650,810,106,464
600,790,176,422
620,790,172,772
640,790,160,438
660,790,156,422
600,770,188,772
620,770,144,400
640,770,156,424
660,770,156,422
590,750,164,400
610,750,192,772
630,750,124,464
650,750,176,425
590,730,172,562
610,730,160,423
630,730,92,464
650,730,344,563
580,710,120,464
600,710,188,772
620,710,136,597
640,710,156,562
570,690,184,276
590,690,124,464
610,690,156,422
630,690,84,464
570,670,136,462
590,670,152,597
610,670,188,597
630,670,184,772
570,650,168,422
590,650,140,396
610,650,156,276
630,650,176,260
570,630,164,422
590,630,164,265
610,630,188,257
630,630,224,248
570,610,148,286
590,610,156,273
610,610,204,252
630,610,176,231
570,590,140,301
590,590,152,278
610,590,184,258
630,590,200,245
560,570,132,287
580,570,152,283
600,570,140,276
620,570,148,276
540,550,128,345
560,550,156,424
580,550,156,424
600,550,168,422
520,530,136,391
540,530,176,562
560,530,160,422
580,530,96,624
510,510,172,422
530,510,144,396
550,510,164,561
570,510,204,434
500,490,168,400
520,490,172,428
540,490,168,416
560,490,152,573
500,470,176,563
520,470,172,424
540,470,180,424
560,470,160,561
500,450,176,422
520,450,176,563
540,450,152,575
560,450,160,563
490,430,172,620
510,430,140,423
530,430,176,563
550,430,160,607
470,410,4,777
490,410,176,624
510,410,172,620
530,410,172,620
480,390,20,772
500,390,0,758
520,390,172,620
540,390,176,562
480,370,108,397
500,370,180,620
520,370,176,620
540,370,168,620
490,350,164,624
510,350,148,624
530,350,176,562
550,350,172,423
480,330,144,589
500,330,164,565
520,330,168,562
540,330,176,562
470,310,136,624
490,310,164,570
510,310,168,563
530,310,164,620
470,290,240,424
490,290,156,603
510,290,200,424
530,290,96,750
470,270,168,607
490,270,288,624
510,270,24,758
530,270,136,624
470,250,200,750
490,250,260,624
510,250,264,624
530,250,300,620
470,230,188,751
490,230,120,466
510,230,260,624
530,230,172,789
470,210,108,466
490,210,276,589
510,210,172,603
530,210,240,603
470,190,148,422
490,190,232,620
510,190,200,466
530,190,352,782
470,170,116,464
490,170,280,624
510,170,116,466
530,170,192,620
480,150,92,464
500,150,100,464
520,150,204,620
540,150,216,620
490,130,348,624
510,130,210,624
530,130,176,438
550,130,180,424
480,110,348,607
500,110,348,607
520,110,192,603
540,110,172,424
