X_COOR,Y_COOR,HEADING
490,850,120
490,820,116
490,790,184
490,760,176
490,730,168
490,700,176
490,670,204
490,640,210
490,610,124
490,580,176
490,550,160
490,520,164
490,490,180
490,460,184
490,430,172
490,400,168
490,370,176
490,340,156
490,310,164
490,280,198
490,250,200
490,220,128
490,190,180
490,160,152
490,130,216
490,100,136
520,850,168
520,820,112
520,790,168
520,760,164
520,730,144
520,700,192
520,670,160
520,640,210
520,610,88
520,580,180
520,550,172
520,520,156
520,490,172
520,460,168
520,430,176
520,400,168
520,370,176
520,340,168
520,310,192
520,280,160
520,250,136
520,220,200
520,190,116
520,160,152
520,130,172
520,100,172
550,850,168
550,820,180
550,790,160
550,760,156
550,730,132
550,700,184
550,670,164
550,640,124
550,610,120
550,580,124
550,550,76
550,520,156
550,490,160
550,460,136
550,430,164
550,400,144
550,370,172
550,340,164
550,310,160
550,280,168
550,250,164
550,220,260
550,190,180
550,160,148
550,130,180
550,100,140
580,850,176
580,820,160
580,790,184
580,760,160
580,730,172
580,700,156
580,670,164
580,640,164
580,610,152
580,580,148
580,550,156
580,520,198
580,490,160
580,460,160
580,430,160
580,400,140
580,370,172
580,340,164
580,310,176
580,280,100
580,250,124
580,220,164
580,190,124
580,160,128
580,130,132
580,100,168
610,850,164
610,820,204
610,790,112
610,760,160
610,730,184
610,700,184
610,670,188
610,640,204
610,610,204
610,580,144
610,550,152
610,520,168
610,490,172
610,460,164
610,430,136
610,400,140
610,370,168
610,340,164
610,310,172
610,280,116
610,250,176
610,220,320
610,190,344
610,160,184
610,130,176
610,100,180
640,850,112
640,820,152
640,790,108
640,760,176
640,730,356
640,700,152
640,670,148
640,640,204
640,610,176
640,580,176
640,550,172
640,520,152
640,490,172
640,460,160
640,430,156
640,400,124
640,370,184
640,340,128
640,310,160
640,280,144
640,250,176
640,220,176
640,190,152
640,160,176
640,130,148
640,100,136
