X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
490,850,116,464
490,820,116,464
490,790,184,423
490,760,180,422
490,730,192,596
490,700,184,596
490,670,176,396
490,640,184,605
490,610,124,464
490,580,176,429
490,550,136,391
490,520,168,408
490,490,180,422
490,460,176,423
490,430,172,620
490,400,168,589
490,370,176,423
490,340,160,603
490,310,164,570
490,280,156,603
490,250,260,624
490,220,124,466
490,190,232,620
490,160,340,607
490,130,348,624
490,100,136,589
520,850,168,438
520,820,112,464
520,790,144,396
520,760,164,422
520,730,144,597
520,700,172,422
520,670,184,393
520,640,188,561
520,610,88,464
520,580,180,381
520,550,172,369
520,520,148,396
520,490,172,428
520,460,168,624
520,430,168,620
520,400,168,620
520,370,176,620
520,340,160,565
520,310,164,620
520,280,160,625
520,250,188,620
520,220,248,422
520,190,200,625
520,160,112,464
520,130,172,438
520,100,172,424
550,850,168,431
550,820,172,772
550,790,180,422
550,760,140,396
550,730,164,464
550,700,184,772
550,670,156,597
550,640,128,462
550,610,148,285
550,580,128,321
550,550,156,424
550,520,156,422
550,490,160,403
550,460,152,574
550,430,160,607
550,400,152,603
550,370,160,565
550,340,164,620
550,310,156,757
550,280,168,620
550,250,164,772
550,220,232,574
550,190,328,624
550,160,188,605
550,130,180,424
550,100,140,589
580,850,176,772
580,820,160,772
580,790,140,598
580,760,200,776
580,730,320,435
580,700,164,565
580,670,164,422
580,640,164,265
580,610,152,279
580,580,144,294
580,550,156,424
580,520,198,424
580,490,160,563
580,460,156,566
580,430,160,561
580,400,140,423
580,370,152,403
580,340,164,565
580,310,152,603
580,280,168,736
580,250,248,624
580,220,180,603
580,190,120,400
580,160,128,466
580,130,156,598
580,100,144,586
610,850,128,464
610,820,212,39
610,790,112,464
610,760,160,422
610,730,160,423
610,700,184,772
610,670,188,597
610,640,156,276
610,610,204,252
610,580,140,276
610,550,152,624
610,520,168,436
610,490,144,422
610,460,168,552
610,430,164,552
610,400,120,466
610,370,168,423
610,340,148,400
610,310,116,464
610,280,108,466
610,250,224,562
610,220,320,393
610,190,344,594
610,160,220,616
610,130,168,424
610,100,180,424
640,850,112,464
640,820,96,464
640,790,160,438
640,760,172,772
640,730,356,760
640,700,176,770
640,670,184,772
640,640,210,248
640,610,176,227
640,580,176,230
640,550,12,466
640,520,152,423
640,490,172,562
640,460,100,396
640,430,148,575
640,400,140,599
640,370,140,562
640,340,128,393
640,310,120,469
640,280,160,620
640,250,184,777
640,220,180,600
640,190,216,607
640,160,188,597
640,130,164,586
640,100,136,598
