X_COOR,Y_COOR,HEADING
600,850,112
620,850,112
640,850,112
660,850,160
590,830,176
610,830,184
630,830,112
650,830,112
590,810,184
610,810,248
630,810,156
650,810,108
600,790,160
620,790,160
640,790,108
660,790,156
600,770,160
620,770,144
640,770,156
660,770,156
590,750,160
610,750,160
630,750,124
650,750,176
590,730,172
610,730,184
630,730,92
650,730,176
580,710,136
600,710,160
620,710,136
640,710,148
570,690,200
590,690,124
610,690,156
630,690,172
570,670,136
590,670,164
610,670,188
630,670,184
570,650,156
590,650,168
610,650,164
630,650,188
570,630,164
590,630,164
610,630,188
630,630,204
570,610,148
590,610,156
610,610,204
630,610,176
570,590,140
590,590,148
610,590,200
630,590,200
560,570,132
580,570,152
600,570,172
620,570,152
540,550,128
560,550,156
580,550,156
600,550,168
520,530,136
540,530,176
560,530,160
580,530,96
510,510,172
530,510,160
550,510,164
570,510,148
500,490,168
520,490,172
540,490,168
560,490,152
500,470,172
520,470,172
540,470,180
560,470,160
500,450,132
520,450,176
540,450,160
560,450,160
490,430,172
510,430,140
530,430,164
550,430,164
470,410,320
490,410,168
510,410,168
530,410,172
480,390,312
500,390,0
520,390,172
540,390,176
480,370,108
500,370,172
520,370,176
540,370,168
490,350,164
510,350,164
530,350,168
550,350,172
480,330,198
500,330,156
520,330,168
540,330,160
470,310,198
490,310,164
510,310,168
530,310,168
470,290,240
490,290,198
510,290,200
530,290,96
470,270,28
490,270,160
510,270,192
530,270,144
470,250,164
490,250,200
510,250,264
530,250,128
470,230,188
490,230,120
510,230,140
530,230,212
470,210,108
490,210,128
510,210,136
530,210,4
470,190,132
490,190,180
510,190,176
530,190,352
470,170,116
490,170,168
510,170,112
530,170,192
480,150,100
500,150,100
520,150,204
540,150,180
490,130,216
510,130,176
530,130,172
550,130,180
480,110,136
500,110,160
520,110,192
540,110,172
