X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,108,465
620,850,178,440
640,850,182,419
660,850,166,426
590,830,198,420
610,830,186,481
630,830,184,760
650,830,158,438
590,810,136,422
610,810,250,59
630,810,160,424
650,810,158,426
600,790,174,559
620,790,176,419
640,790,174,429
660,790,156,419
600,770,166,779
620,770,154,407
640,770,152,407
660,770,156,426
590,750,168,406
610,750,154,407
630,750,158,407
650,750,154,426
590,730,172,565
610,730,160,419
630,730,156,407
650,730,182,770
580,710,132,407
600,710,188,770
620,710,156,407
640,710,156,406
570,690,160,576
590,690,164,568
610,690,158,419
630,690,172,429
570,670,150,419
590,670,156,425
610,670,184,588
630,670,162,265
570,650,168,426
590,650,170,272
610,650,168,263
630,650,172,262
570,630,152,279
590,630,162,267
610,630,190,257
630,630,198,254
570,610,150,283
590,610,156,273
610,610,202,253
630,610,176,230
570,590,140,301
590,590,150,282
610,590,156,271
630,590,174,261
560,570,182,418
580,570,142,291
600,570,142,272
620,570,156,268
540,550,130,346
560,550,154,407
580,550,154,406
600,550,148,279
520,530,138,393
540,530,152,398
560,530,150,407
580,530,164,407
510,510,168,406
530,510,164,406
550,510,164,406
570,510,194,419
500,490,172,406
520,490,172,432
540,490,166,411
560,490,170,407
500,470,170,451
520,470,168,419
540,470,170,407
560,470,156,569
500,450,172,422
520,450,166,410
540,450,144,587
560,450,148,579
490,430,172,620
510,430,172,612
530,430,144,593
550,430,144,593
470,410,160,419
490,410,160,419
510,410,152,407
530,410,234,438
480,390,158,424
500,390,154,430
520,390,168,407
540,390,156,606
480,370,124,407
500,370,158,565
520,370,176,612
540,370,170,419
490,350,184,612
510,350,134,407
530,350,154,606
550,350,142,593
480,330,170,612
500,330,140,419
520,330,166,616
540,330,170,616
470,310,152,599
490,310,154,593
510,310,170,565
530,310,166,616
470,290,154,598
490,290,156,593
510,290,180,770
530,290,164,621
470,270,148,599
490,270,188,618
510,270,170,777
530,270,158,593
470,250,170,614
490,250,260,623
510,250,202,419
530,250,174,774
470,230,288,774
490,230,270,612
510,230,182,770
530,230,266,616
470,210,286,755
490,210,200,419
510,210,272,777
530,210,170,448
470,190,146,426
490,190,178,437
510,190,224,616
530,190,198,627
470,170,234,424
490,170,214,623
510,170,168,448
530,170,220,612
480,150,278,432
500,150,348,623
520,150,202,623
540,150,204,612
490,130,358,617
510,130,206,570
530,130,190,596
550,130,178,598
480,110,188,593
500,110,192,593
520,110,172,419
540,110,174,419
